iter	RMSE
0	1.061230723
1	1.038332983
2	1.013846943
3	0.9893294953
4	0.9661517633
5	0.9421715709
6	0.9186175817
7	0.8983770492
8	0.87652307
9	0.8571105928
10	0.8364554012
11	0.82023042
12	0.8032137691
13	0.7888047645
14	0.7735780249
15	0.7581292461
16	0.7436146771
17	0.7304219153
18	0.7160330684
19	0.7041134113
20	0.6906267111
21	0.6787123388
22	0.6660311516
23	0.6533274984
24	0.6429314531
25	0.6329200209
26	0.6236898004
27	0.6144852805
28	0.6047015158
29	0.5969982735
30	0.5889803813
31	0.5817206691
32	0.5740198334
33	0.5663652563
34	0.5591719893
35	0.5522331042
36	0.5448551458
37	0.5383460702
38	0.5328078145
39	0.5272986641
40	0.521235256
41	0.5167835789
42	0.5115557626
43	0.5062254699
44	0.5012578467
45	0.4970155415
46	0.4929466821
47	0.4888389864
48	0.4849053246
49	0.480438299
50	0.4769009789
51	0.4728820113
52	0.469363214
53	0.4653637623
54	0.4621003743
55	0.4585654679
56	0.4547867208
57	0.4518453759
58	0.4480017765
59	0.4445526893
60	0.4417494421
61	0.4388932566
62	0.4351424104
63	0.4324879029
64	0.4302658694
65	0.4280892612
66	0.4251465881
67	0.4231080349
68	0.4205463724
69	0.4185374842
70	0.4166979724
71	0.4149113286
72	0.4133185903
73	0.4116726798
74	0.409905556
75	0.4082724949
76	0.4067048752
77	0.4047111577
78	0.4030404259
79	0.4012887893
80	0.3992156986
81	0.3974890315
82	0.3960049736
83	0.3942720916
84	0.3926964057
85	0.3910185684
86	0.3893225876
87	0.3879884398
88	0.3867309228
89	0.3852071798
90	0.3835649415
91	0.3824812965
92	0.3814015856
93	0.3799557868
94	0.3790849645
95	0.3778724881
96	0.3769008908
97	0.3759255866
98	0.3745032388
99	0.3737862035
100	0.372791674
101	0.371986652
102	0.3705742503
103	0.3698837201
104	0.3686028273
105	0.3677148143
106	0.3664973832
107	0.3657828329
108	0.3651015335
109	0.3640776729
110	0.3632027116
111	0.3625202294
112	0.3615416218
113	0.360405741
114	0.3594170151
115	0.3580466891
116	0.3575132982
117	0.3570164057
118	0.3560501142
119	0.355218786
120	0.3545457614
121	0.353885319
122	0.3527544637
123	0.3519082642
124	0.3512174892
125	0.350242862
126	0.3495055931
127	0.3489158906
128	0.348334236
129	0.347429501
130	0.3466259801
131	0.345485662
132	0.3447060715
133	0.343931422
134	0.3427487896
135	0.3420989792
136	0.3414364592
137	0.3407246711
138	0.3401818418
139	0.3397462915
140	0.3391720774
141	0.3381845318
142	0.3373066249
143	0.336769423
144	0.3360776112
145	0.3354736329
146	0.3350860414
147	0.3345483967
148	0.3338348932
149	0.3331407535
150	0.3324671359
151	0.3319734168
152	0.3314581874
153	0.3310555301
154	0.3304257776
155	0.330007536
156	0.3295702353
157	0.3287948373
158	0.3284389145
159	0.3278463558
160	0.3274148178
161	0.3270966017
162	0.3266990866
163	0.3262374375
164	0.3255032395
165	0.324953583
166	0.32470567
167	0.3242423083
168	0.3236428023
169	0.3232652246
170	0.3229994832
171	0.3226610294
172	0.3220858653
173	0.3212680534
174	0.3206246971
175	0.3200956736
176	0.3197855151
177	0.3192695721
178	0.3186141635
179	0.3181257541
180	0.317302653
181	0.3169372662
182	0.3166722194
183	0.3160991143
184	0.3154791294
185	0.3148955733
186	0.3141141583
187	0.3131857396
188	0.312875403
189	0.3126140689
190	0.3123756247
191	0.3120613099
192	0.3117219881
193	0.3114273704
194	0.3109833391
195	0.310239821
196	0.3099366088
197	0.3095282076
198	0.3092582089
199	0.3089950316
200	0.308452875
201	0.3081688419
202	0.3077037563
203	0.3074899667
204	0.3068872724
205	0.3062987511
206	0.3060712151
207	0.3057981196
208	0.3053581664
209	0.3051626183
210	0.3045507557
211	0.3039717994
212	0.3036952461
213	0.3034586395
214	0.3032526546
215	0.3028096254
216	0.3019981164
217	0.3017844385
218	0.3015128442
219	0.3012703443
220	0.3009751135
221	0.3006662916
222	0.3004301821
223	0.3001579735
224	0.2997602553
225	0.2994725151
226	0.2992866555
227	0.2986938664
228	0.2984987576
229	0.2983165566
230	0.2975405006
231	0.296970196
232	0.2961913323
233	0.2960053097
234	0.2954912946
235	0.2951085592
236	0.294127403
237	0.2939327306
238	0.2937541566
239	0.2933254559
240	0.2931381099
241	0.2926722036
242	0.2924207672
243	0.2918606619
244	0.2912652753
245	0.2910916048
246	0.2909289453
247	0.2907422036
248	0.2905561467
249	0.289775446
250	0.289616376
251	0.2892863593
252	0.2890019675
253	0.2885207858
254	0.2883853225
255	0.2882291972
256	0.2876162888
257	0.287169248
258	0.286937992
259	0.2867895809
260	0.2866694364
261	0.2865167525
262	0.2863909965
263	0.2862826994
264	0.2860838469
265	0.2859461014
266	0.2855021589
267	0.2853701019
268	0.2850008267
269	0.2844940326
270	0.2843649017
271	0.2838937421
272	0.28360922
273	0.2831168742
274	0.2827166743
275	0.2823487312
276	0.2820528255
277	0.2818913249
278	0.281557872
279	0.281124127
280	0.280762166
281	0.2806129918
282	0.2799991073
283	0.2798797831
284	0.2794035789
285	0.2792304252
286	0.2790124525
287	0.2784423874
288	0.2783331981
289	0.2781264085
290	0.2776230883
291	0.2774540903
292	0.2773444461
293	0.2771990775
294	0.277107122
295	0.2770114193
296	0.2768938457
297	0.276173952
298	0.2760948775
299	0.2760051406
