iter	Passed	Remaining
0	136	40790
1	139	20729
2	141	13992
3	143	10602
4	145	8556
5	146	7188
6	148	6209
7	150	5476
8	152	4915
9	155	4497
10	156	4123
11	158	3806
12	160	3536
13	161	3302
14	163	3109
15	165	2933
16	167	2788
17	170	2665
18	172	2545
19	173	2434
20	175	2332
21	178	2250
22	180	2169
23	182	2103
24	185	2039
25	187	1972
26	189	1914
27	191	1859
28	193	1807
29	195	1760
30	198	1726
31	201	1686
32	203	1646
33	204	1599
34	206	1564
35	208	1527
36	211	1505
37	214	1476
38	216	1445
39	217	1415
40	219	1384
41	220	1356
42	222	1331
43	224	1308
44	227	1289
45	229	1268
46	231	1244
47	232	1222
48	234	1201
49	236	1181
50	238	1162
51	239	1143
52	242	1129
53	244	1112
54	246	1096
55	247	1080
56	249	1064
57	251	1050
58	253	1034
59	255	1021
60	257	1009
61	259	996
62	261	983
63	262	969
64	264	956
65	266	943
66	267	931
67	269	920
68	273	916
69	275	906
70	277	895
71	279	884
72	280	873
73	282	863
74	284	852
75	286	845
76	288	836
77	290	826
78	292	817
79	293	808
80	295	798
81	297	789
82	298	781
83	301	775
84	304	769
85	305	761
86	307	753
87	309	745
88	310	737
89	312	728
90	314	721
91	316	715
92	318	709
93	320	702
94	321	694
95	323	687
96	325	680
97	326	673
98	328	666
99	330	660
100	333	656
101	334	649
102	336	643
103	338	637
104	339	631
105	341	625
106	343	619
107	345	613
108	347	608
109	349	603
110	350	597
111	352	591
112	353	585
113	356	580
114	357	575
115	360	571
116	362	567
117	364	562
118	366	558
119	369	553
120	370	548
121	372	543
122	374	538
123	376	534
124	378	530
125	380	525
126	382	520
127	383	515
128	385	510
129	387	506
130	389	502
131	391	498
132	393	493
133	394	489
134	396	484
135	398	480
136	399	475
137	401	471
138	402	466
139	405	463
140	407	459
141	409	455
142	411	451
143	412	447
144	414	443
145	416	439
146	418	435
147	421	432
148	423	428
149	424	424
150	426	420
151	428	416
152	429	412
153	431	408
154	432	405
155	435	401
156	437	398
157	439	394
158	440	390
159	442	386
160	443	383
161	445	379
162	446	375
163	448	371
164	450	368
165	453	365
166	454	362
167	456	358
168	458	355
169	459	351
170	461	347
171	463	344
172	466	342
173	467	338
174	469	335
175	471	332
176	473	328
177	474	325
178	476	321
179	479	319
180	481	316
181	483	313
182	485	310
183	486	306
184	488	303
185	489	300
186	491	297
187	494	294
188	496	291
189	498	288
190	500	285
191	502	282
192	503	279
193	505	276
194	507	273
195	509	270
196	511	267
197	512	264
198	514	261
199	515	257
200	517	254
201	519	252
202	521	249
203	523	246
204	525	243
205	527	240
206	529	237
207	531	234
208	532	231
209	534	228
210	536	226
211	538	223
212	540	220
213	542	217
214	543	214
215	545	212
216	547	209
217	548	206
218	550	203
219	552	200
220	554	198
221	556	195
222	557	192
223	559	189
224	560	186
225	562	184
226	564	181
227	565	178
228	567	176
229	570	173
230	571	170
231	573	168
232	575	165
233	576	162
234	578	159
235	580	157
236	581	154
237	584	152
238	586	149
239	587	146
240	589	144
241	591	141
242	593	139
243	595	136
244	598	134
245	600	131
246	602	129
247	603	126
248	605	124
249	607	121
250	608	118
251	610	116
252	612	113
253	614	111
254	616	108
255	617	106
256	619	103
257	621	101
258	623	98
259	624	96
260	626	93
261	628	91
262	630	88
263	632	86
264	634	83
265	635	81
266	637	78
267	638	76
268	640	73
269	643	71
270	645	69
271	646	66
272	648	64
273	650	61
274	651	59
275	653	56
276	655	54
277	657	52
278	659	49
279	661	47
280	662	44
281	664	42
282	666	40
283	668	37
284	669	35
285	671	32
286	673	30
287	675	28
288	677	25
289	679	23
290	680	21
291	682	18
292	684	16
293	685	13
294	688	11
295	691	9
296	693	7
297	694	4
298	696	2
299	697	0
